gdp_per_capita,life_expectancy,social_support,score
1.44178,0.79504,1.6203417567885008,7.526
1.52733,0.86303,1.6449087922859429,7.509
1.42666,0.86733,1.6244618012782892,7.501
1.57744,0.79579,1.6481250226768926,7.498
1.40598,0.81091,1.6002029547940606,7.413
1.44015,0.8276,1.6093006538323766,7.404
1.46468,0.81231,1.598810774000044,7.339
1.36066,0.83096,1.5856437658854392,7.334
1.44443,0.8512,1.6005790377232536,7.313
1.45181,0.83121,1.5984229152400051,7.291
1.33766,0.84917,1.5520480251358737,7.267
1.45038,0.80565,1.5609352381670851,7.119
1.50796,0.779,1.5603467642271092,7.104
1.06879,0.76146,1.4809173891533596,7.087
1.35943,0.77758,1.5215319010260029,7.039
1.44787,0.81487,1.543868163235907,6.994
1.08754,0.61415,1.4277564057300296,6.952
1.42539,0.81959,1.5289760382343018,6.929
1.48341,0.81455,1.5398613149355438,6.907
1.69752,0.84542,1.5805250039907408,6.871
1.11508,0.71143,1.4166952790724814,6.778
1.64555,0.94719,1.5556486052240677,6.739
1.40283,0.80991,1.4916930987060726,6.725
1.2167,0.81883,1.441820427772087,6.705
1.18306,0.70835,1.4341106346729215,6.701
1.15137,0.69711,1.4111762833910395,6.65
1.30915,0.76376,1.4405207191946137,6.596
1.57352,0.72993,1.5001182580740329,6.573
1.18157,0.72183,1.4189092238671248,6.545
1.30782,0.80315,1.445280982781085,6.488
1.03032,0.59659,1.3539725483641922,6.481
1.39488,0.83795,1.458782396308653,6.478
1.0893,0.64915,1.3798417118235669,6.474
1.48953,0.59267,1.418926056458052,6.379
1.39729,0.79565,1.4223494500603528,6.379
1.82427,0.71723,1.522956024808628,6.375
1.34253,0.87896,1.4307849294063322,6.361
1.05266,0.61804,1.3230625199165231,6.355
0.83454,0.54039,1.2997767292388949,6.324
1.09686,0.50933,1.338780250652961,6.269
1.61714,0.63569,1.440499398356063,6.239
1.44024,0.65696,1.4121646852519485,6.218
1.32572,0.52608,1.366294061440128,6.168
1.13367,0.61904,1.2959806756067715,6.084
1.27973,0.70367,1.3396522575223506,6.078
0.8737,0.596,1.2634219866659802,6.068
1.25142,0.62366,1.3305629476363612,6.005
0.69384,0.65213,1.236084285271746,5.992
0.73591,0.50163,1.2407122708829654,5.987
1.35495,0.85102,1.3581504721258433,5.977
0.97306,0.68613,1.2890236315435963,5.976
0.87616,0.45569,1.249986229209502,5.956
1.38007,0.91491,1.3972137385115455,5.921
1.22943,0.57386,1.317494169046999,5.919
0.69177,0.52309,1.189016744377915,5.897
1.23228,0.58991,1.3029390937344132,5.856
1.24585,0.69058,1.330661230153319,5.835
1.35948,0.88645,1.356128787577513,5.835
0.79422,0.4697,1.2228432798712356,5.822
1.2692,0.64674,1.3011901850529348,5.813
1.13062,0.63104,1.2837568278101403,5.802
1.31141,0.84142,1.3582210022376178,5.771
1.29947,0.79151,1.3611713047044378,5.768
0.99602,0.62994,1.2614564948811604,5.743
1.08017,0.44006,1.2374279840595497,5.658
1.14372,0.66189,1.2887540587127864,5.648
1.06688,0.52304,1.244959638064845,5.615
1.21788,0.63952,1.2663266096326375,5.56
1.31857,0.8488,1.3142192600430658,5.546
0.89373,0.58295,1.2168429259684004,5.538
1.1697,0.67602,1.271015780368436,5.528
1.27964,0.68098,1.2976136917030114,5.517
0.89333,0.59469,1.215433610262662,5.51
1.18649,0.70524,1.2615762258900964,5.488
1.5107,0.95277,1.37922534837498,5.458
0.0,0.11466,0.9881174305918992,5.44
0.90145,0.54,1.163401545170309,5.401
1.16492,0.64718,1.2378749366887778,5.389
0.95104,0.49374,1.1811804046361438,5.314
0.99673,0.60712,1.201123066162142,5.303
1.12373,0.54504,1.2156970550099806,5.291
